diversity,seed,phase,kind,phase_env_steps,total_env_steps,success_rate
1,4,2,periodic,29360128,79691776,0.5732421875
1,4,2,periodic,31457280,81788928,0.5849609375
1,4,2,periodic,33554432,83886080,0.5888671875
1,4,2,periodic,35651584,85983232,0.5791015625
1,4,2,periodic,37748736,88080384,0.5849609375
1,4,2,periodic,39845888,90177536,0.5634765625
1,4,2,periodic,41943040,92274688,0.583984375
1,4,2,periodic,44040192,94371840,0.560546875
1,4,2,periodic,46137344,96468992,0.5712890625
1,4,2,periodic,48234496,98566144,0.609375
1,4,2,periodic,50331648,100663296,0.5537109375
1,4,2,phase_end,50331648,100663296,0.5537109375
1,4,3,phase_start,0,100663296,0.79296875
1,4,3,periodic,2097152,102760448,0.7783203125
1,4,3,periodic,4194304,104857600,0.791015625
1,4,3,periodic,6291456,106954752,0.7861328125
1,4,3,periodic,8388608,109051904,0.7900390625
1,4,3,periodic,10485760,111149056,0.80078125
1,4,3,periodic,12582912,113246208,0.7666015625
1,4,3,periodic,14680064,115343360,0.7841796875
1,4,3,periodic,16777216,117440512,0.7841796875
1,4,3,periodic,18874368,119537664,0.7763671875
1,4,3,periodic,20971520,121634816,0.779296875
1,4,3,periodic,23068672,123731968,0.7939453125
1,4,3,periodic,25165824,125829120,0.779296875
1,4,3,periodic,27262976,127926272,0.76953125
1,4,3,periodic,29360128,130023424,0.7861328125
1,4,3,periodic,31457280,132120576,0.78515625
1,4,3,periodic,33554432,134217728,0.7841796875
1,4,3,periodic,35651584,136314880,0.7978515625
1,4,3,periodic,37748736,138412032,0.7890625
1,4,3,periodic,39845888,140509184,0.779296875
1,4,3,periodic,41943040,142606336,0.796875
1,4,3,periodic,44040192,144703488,0.771484375
1,4,3,periodic,46137344,146800640,0.7744140625
1,4,3,periodic,48234496,148897792,0.7763671875
1,4,3,periodic,50331648,150994944,0.7861328125
1,4,3,phase_end,50331648,150994944,0.7861328125
1,4,4,phase_start,0,150994944,0.78515625
1,4,4,periodic,2097152,153092096,0.779296875
1,4,4,periodic,4194304,155189248,0.787109375
1,4,4,periodic,6291456,157286400,0.775390625
1,4,4,periodic,8388608,159383552,0.8125
1,4,4,periodic,10485760,161480704,0.7880859375
1,4,4,periodic,12582912,163577856,0.7802734375
1,4,4,periodic,14680064,165675008,0.78515625
1,4,4,periodic,16777216,167772160,0.78125
1,4,4,periodic,18874368,169869312,0.7666015625
1,4,4,periodic,20971520,171966464,0.7763671875
1,4,4,periodic,23068672,174063616,0.77734375
1,4,4,periodic,25165824,176160768,0.76953125
1,4,4,periodic,27262976,178257920,0.7919921875
1,4,4,periodic,29360128,180355072,0.7919921875
1,4,4,periodic,31457280,182452224,0.8125
1,4,4,periodic,33554432,184549376,0.767578125
1,4,4,periodic,35651584,186646528,0.77734375
1,4,4,periodic,37748736,188743680,0.798828125
1,4,4,periodic,39845888,190840832,0.7724609375
1,4,4,periodic,41943040,192937984,0.798828125
1,4,4,periodic,44040192,195035136,0.80859375
1,4,4,periodic,46137344,197132288,0.775390625
1,4,4,periodic,48234496,199229440,0.7900390625
1,4,4,periodic,50331648,201326592,0.7822265625
1,4,4,phase_end,50331648,201326592,0.7822265625
4,0,1,phase_start,0,0,0.052734375
4,0,1,periodic,2097152,2097152,0.671875
4,0,1,periodic,4194304,4194304,0.748046875
4,0,1,periodic,6291456,6291456,0.6875
4,0,1,periodic,8388608,8388608,0.634765625
4,0,1,periodic,10485760,10485760,0.677734375
4,0,1,periodic,12582912,12582912,0.6591796875
4,0,1,periodic,14680064,14680064,0.7431640625
4,0,1,periodic,16777216,16777216,0.701171875
4,0,1,periodic,18874368,18874368,0.7080078125
4,0,1,periodic,20971520,20971520,0.658203125
4,0,1,periodic,23068672,23068672,0.736328125
4,0,1,periodic,25165824,25165824,0.75
4,0,1,periodic,27262976,27262976,0.6904296875
4,0,1,periodic,29360128,29360128,0.671875
4,0,1,periodic,31457280,31457280,0.6572265625
4,0,1,periodic,33554432,33554432,0.72265625
4,0,1,periodic,35651584,35651584,0.6826171875
4,0,1,periodic,37748736,37748736,0.7333984375
4,0,1,periodic,39845888,39845888,0.6962890625
4,0,1,periodic,41943040,41943040,0.6943359375
4,0,1,periodic,44040192,44040192,0.75
4,0,1,periodic,46137344,46137344,0.705078125
4,0,1,periodic,48234496,48234496,0.7060546875
4,0,1,periodic,50331648,50331648,0.73828125
4,0,1,phase_end,50331648,50331648,0.73828125
4,0,2,phase_start,0,50331648,0.3095703125
4,0,2,periodic,2097152,52428800,0.3076171875
4,0,2,periodic,4194304,54525952,0.3466796875
4,0,2,periodic,6291456,56623104,0.3095703125
4,0,2,periodic,8388608,58720256,0.291015625
4,0,2,periodic,10485760,60817408,0.2939453125
4,0,2,periodic,12582912,62914560,0.310546875
4,0,2,periodic,14680064,65011712,0.29296875
4,0,2,periodic,16777216,67108864,0.3046875
4,0,2,periodic,18874368,69206016,0.318359375
4,0,2,periodic,20971520,71303168,0.2939453125
4,0,2,periodic,23068672,73400320,0.3095703125
4,0,2,periodic,25165824,75497472,0.2880859375
4,0,2,periodic,27262976,77594624,0.2919921875
4,0,2,periodic,29360128,79691776,0.283203125
4,0,2,periodic,31457280,81788928,0.28515625
4,0,2,periodic,33554432,83886080,0.3095703125
4,0,2,periodic,35651584,85983232,0.2890625
4,0,2,periodic,37748736,88080384,0.30078125
4,0,2,periodic,39845888,90177536,0.283203125
4,0,2,periodic,41943040,92274688,0.28515625
4,0,2,periodic,44040192,94371840,0.2880859375
4,0,2,periodic,46137344,96468992,0.28515625
4,0,2,periodic,48234496,98566144,0.2783203125
4,0,2,periodic,50331648,100663296,0.291015625
