checkpoint_success_rate,cosine_all,cosine_policy,cosine_shared,cosine_value,current_batch_mean_reward,diversity,event,norm_current_all,norm_current_policy,norm_current_shared,norm_current_value,norm_previous_all,norm_previous_policy,norm_previous_shared,norm_previous_value,phase,phase_env_steps,phase_fraction,previous_batch_mean_reward,previous_distribution_count,seed,total_env_steps,wall_time_seconds,subsequent_specialization_gain
0.599609375,-0.09514625370502472,-0.19168145954608917,-0.053560931235551834,0.1024480015039444,0.007080078125,1,gradient_diagnostic,0.18788595497608185,0.08766214549541473,0.14849944412708282,0.0745948925614357,0.07114341109991074,0.059666767716407776,0.03844895586371422,0.004789471626281738,2,0,0.0,0.003936767578125,1,0,50331648,5.446335792541504,-0.0283203125
0.650390625,0.34371501207351685,0.2546602189540863,0.5189592242240906,0.48310941457748413,0.007354736328125,1,gradient_diagnostic,0.07828021049499512,0.06608447432518005,0.04134383052587509,0.007163850124925375,0.26955801248550415,0.14724378287792206,0.20860294997692108,0.08640377968549728,2,25165824,0.5,0.00396728515625,1,0,75497472,700.4362421035767,-0.0791015625
0.609375,0.4138999581336975,0.44905608892440796,0.23162755370140076,0.8332924246788025,0.008148193359375,1,gradient_diagnostic,0.09944046288728714,0.09326369315385818,0.032496772706508636,0.011586545035243034,0.08101443946361542,0.0670425072312355,0.03809623792767525,0.024845877662301064,2,50331648,1.0,0.004974365234375,1,0,100663296,1386.3013894557953,-0.0380859375
1.0,0.3003765642642975,0.21161489188671112,0.3896797001361847,0.9175807237625122,0.0172119140625,1,gradient_diagnostic,0.11179062724113464,0.09256227314472198,0.05801164731383324,0.0237490963190794,0.07481148093938828,0.059636496007442474,0.04082893580198288,0.01931953802704811,3,0,0.0,0.0054931640625,2,0,100663296,1395.1895666122437,-0.2138671875
0.521484375,0.9487147927284241,0.9599543213844299,0.9594550728797913,0.932836651802063,0.003173828125,1,gradient_diagnostic,0.6258492469787598,0.22317616641521454,0.4301571846008301,0.39603596925735474,0.3637638986110687,0.1332252025604248,0.24693776667118073,0.23151016235351562,3,25165824,0.5,0.0023193359375,2,0,125829120,2082.553259372711,0.2646484375
1.0,0.28034716844558716,0.7449677586555481,0.04651029035449028,0.7981605529785156,0.016204833984375,1,gradient_diagnostic,0.26655253767967224,0.25753694772720337,0.0660327896475792,0.01909574493765831,0.2046935111284256,0.07289613038301468,0.1849658042192459,0.048715848475694656,3,50331648,1.0,0.006011962890625,2,0,150994944,114.30684351921082,-0.2138671875
1.0,0.5175452828407288,0.8295661211013794,0.22013267874717712,-0.10136326402425766,0.016845703125,1,gradient_diagnostic,0.10999574512243271,0.08690403401851654,0.027128294110298157,0.0617317296564579,0.11719770729541779,0.09132840484380722,0.05962403118610382,0.042888227850198746,4,0,0.0,0.007720947265625,3,0,150994944,120.68444919586182,-0.232421875
1.0,0.04839835688471794,-0.012726477347314358,-0.04709048941731453,0.3252560794353485,0.013946533203125,1,gradient_diagnostic,0.044971659779548645,0.04114765301346779,0.011202167719602585,0.014276983216404915,0.12773114442825317,0.02491869404911995,0.10097556561231613,0.07415010035037994,4,25165824,0.5,0.00872802734375,3,0,176160768,791.368926525116,-0.232421875
0.9609375,-0.18659503757953644,-0.7348225712776184,-0.07535533607006073,0.7487286329269409,0.01763916015625,1,gradient_diagnostic,0.0687326118350029,0.06821975111961365,0.007926853373646736,0.002720931079238653,0.11033892631530762,0.03159276768565178,0.04461221024394035,0.09584533423185349,4,50331648,1.0,0.00933837890625,3,0,201326592,1464.3525686264038,-0.193359375
0.587890625,-0.024280045181512833,0.028256002813577652,-0.18075835704803467,0.7216352224349976,0.006683349609375,1,gradient_diagnostic,0.19901925325393677,0.05090717226266861,0.1900266706943512,0.030116206035017967,0.0642964318394661,0.06303165853023529,0.01260632835328579,0.0014564970042556524,2,0,0.0,0.003936767578125,1,1,50331648,1547.173825263977,-0.0146484375
0.611328125,0.012415077537298203,0.045244328677654266,0.06407498568296432,-0.3171961307525635,0.00848388671875,1,gradient_diagnostic,0.049374669790267944,0.04360257834196091,0.02223953790962696,0.006486592814326286,0.07654977589845657,0.05066429078578949,0.03177981823682785,0.04778118059039116,2,25165824,0.5,0.003753662109375,1,1,75497472,2264.1778683662415,-0.0380859375
0.71484375,0.05009391903877258,-0.009507128037512302,-0.0394645519554615,0.8280673027038574,0.00830078125,1,gradient_diagnostic,0.07235126942396164,0.06957092881202698,0.01780698448419571,0.008803564123809338,0.10130658000707626,0.06905597448348999,0.042500000447034836,0.06072927266359329,2,50331648,1.0,0.003997802734375,1,1,100663296,313.18273091316223,-0.1416015625
