diversity,seed,phase,start_success,end_success,transfer_gap,specialization_gain,d1_success_after_phase,backward_d1
64,0,4,0.3955078125,0.41015625,-0.0048828125,0.0146484375,0.3681640625,-0.0166015625
64,1,1,0.0302734375,0.3828125,nan,0.3525390625,0.3544921875,0.0
64,1,2,0.5029296875,0.4794921875,-0.1201171875,-0.0234375,0.36328125,0.0087890625
64,1,3,0.4072265625,0.4140625,0.072265625,0.0068359375,0.40234375,0.0478515625
64,1,4,0.40625,0.404296875,0.0078125,-0.001953125,0.37890625,0.0244140625
64,2,1,0.033203125,0.3359375,nan,0.302734375,0.37109375,0.0
64,2,2,0.4443359375,0.431640625,-0.1083984375,-0.0126953125,0.3515625,-0.01953125
64,2,3,0.404296875,0.392578125,0.02734375,-0.01171875,0.4052734375,0.0341796875
64,2,4,0.416015625,0.42578125,-0.0234375,0.009765625,0.3671875,-0.00390625
64,3,1,0.03515625,0.3515625,nan,0.31640625,0.3671875,0.0
64,3,2,0.4736328125,0.466796875,-0.1220703125,-0.0068359375,0.3740234375,0.0068359375
64,3,3,0.40234375,0.4033203125,0.064453125,0.0009765625,0.3671875,0.0
64,3,4,0.3984375,0.4033203125,0.0048828125,0.0048828125,0.37109375,0.00390625
64,4,1,0.0419921875,0.375,nan,0.3330078125,0.3583984375,0.0
64,4,2,0.4697265625,0.44140625,-0.0947265625,-0.0283203125,0.3603515625,0.001953125
64,4,3,0.4013671875,0.43359375,0.0400390625,0.0322265625,0.3916015625,0.033203125
64,4,4,0.39453125,0.380859375,0.0390625,-0.013671875,0.3759765625,0.017578125
256,0,1,0.0419921875,0.3798828125,nan,0.337890625,0.388671875,0.0
256,0,2,0.4169921875,0.0263671875,-0.037109375,-0.390625,0.03125,-0.357421875
256,0,3,0.025390625,0.38671875,0.0009765625,0.361328125,0.3818359375,-0.0068359375
256,0,4,0.4013671875,0.3671875,-0.0146484375,-0.0341796875,0.353515625,-0.03515625
256,1,1,0.03125,0.341796875,nan,0.310546875,0.376953125,0.0
256,1,2,0.4052734375,0.3974609375,-0.0634765625,-0.0078125,0.3798828125,0.0029296875
256,1,3,0.361328125,0.3828125,0.0361328125,0.021484375,0.3828125,0.005859375
256,1,4,0.3759765625,0.380859375,0.0068359375,0.0048828125,0.390625,0.013671875
256,2,1,0.037109375,0.3515625,nan,0.314453125,0.3994140625,0.0
256,2,2,0.3935546875,0.3896484375,-0.0419921875,-0.00390625,0.3681640625,-0.03125
256,2,3,0.375,0.373046875,0.0146484375,-0.001953125,0.3818359375,-0.017578125
256,2,4,0.373046875,0.384765625,0.0,0.01171875,0.376953125,-0.0224609375
256,3,1,0.0439453125,0.3515625,nan,0.3076171875,0.34765625,0.0
256,3,2,0.365234375,0.4091796875,-0.013671875,0.0439453125,0.373046875,0.025390625
256,3,3,0.3896484375,0.3828125,0.01953125,-0.0068359375,0.3564453125,0.0087890625
256,3,4,0.4091796875,0.3583984375,-0.0263671875,-0.05078125,0.40234375,0.0546875
256,4,1,0.0400390625,0.3955078125,nan,0.35546875,0.3603515625,0.0
256,4,2,0.3916015625,0.353515625,0.00390625,-0.0380859375,0.3505859375,-0.009765625
256,4,3,0.3935546875,0.3779296875,-0.0400390625,-0.015625,0.3916015625,0.03125
256,4,4,0.3779296875,0.3837890625,0.0,0.005859375,0.3818359375,0.021484375
