diversity,seed,run,phase,interval,predictor_fraction,start_success,end_success,interval_gain,start_depth6,end_depth6,interval_gain_depth6,cosine_all,norm_current_all,norm_previous_all,cosine_shared,norm_current_shared,norm_previous_shared,cosine_policy,norm_current_policy,norm_previous_policy,cosine_value,norm_current_value,norm_previous_value
1,0,n1_seed0,2,start_to_mid,0.0,0.5634765625,0.5986328125,0.03515625,0.0,0.0,0.0,-0.09514625370502472,0.18788595497608185,0.07114341109991074,-0.053560931235551834,0.14849944412708282,0.03844895586371422,-0.19168145954608917,0.08766214549541473,0.059666767716407776,0.1024480015039444,0.0745948925614357,0.004789471626281738
1,0,n1_seed0,2,mid_to_end,0.5,0.5986328125,0.5712890625,-0.02734375,0.0,0.0,0.0,0.34371501207351685,0.07828021049499512,0.26955801248550415,0.5189592242240906,0.04134383052587509,0.20860294997692108,0.2546602189540863,0.06608447432518005,0.14724378287792206,0.48310941457748413,0.007163850124925375,0.08640377968549728
1,0,n1_seed0,3,start_to_mid,0.0,0.7861328125,0.4111328125,-0.375,0.0,0.0,0.0,0.3003765642642975,0.11179062724113464,0.07481148093938828,0.3896797001361847,0.05801164731383324,0.04082893580198288,0.21161489188671112,0.09256227314472198,0.059636496007442474,0.9175807237625122,0.0237490963190794,0.01931953802704811
1,0,n1_seed0,3,mid_to_end,0.5,0.4111328125,0.7861328125,0.375,0.0,0.0,0.0,0.9487147927284241,0.6258492469787598,0.3637638986110687,0.9594550728797913,0.4301571846008301,0.24693776667118073,0.9599543213844299,0.22317616641521454,0.1332252025604248,0.932836651802063,0.39603596925735474,0.23151016235351562
1,0,n1_seed0,4,start_to_mid,0.0,0.771484375,0.771484375,0.0,0.0,0.0,0.0,0.5175452828407288,0.10999574512243271,0.11719770729541779,0.22013267874717712,0.027128294110298157,0.05962403118610382,0.8295661211013794,0.08690403401851654,0.09132840484380722,-0.10136326402425766,0.0617317296564579,0.042888227850198746
1,0,n1_seed0,4,mid_to_end,0.5,0.771484375,0.767578125,-0.00390625,0.0,0.0,0.0,0.04839835688471794,0.044971659779548645,0.12773114442825317,-0.04709048941731453,0.011202167719602585,0.10097556561231613,-0.012726477347314358,0.04114765301346779,0.02491869404911995,0.3252560794353485,0.014276983216404915,0.07415010035037994
1,1,n1_seed1,2,start_to_mid,0.0,0.5849609375,0.5576171875,-0.02734375,0.0,0.0,0.0,-0.024280045181512833,0.19901925325393677,0.0642964318394661,-0.18075835704803467,0.1900266706943512,0.01260632835328579,0.028256002813577652,0.05090717226266861,0.06303165853023529,0.7216352224349976,0.030116206035017967,0.0014564970042556524
1,1,n1_seed1,2,mid_to_end,0.5,0.5576171875,0.5732421875,0.015625,0.0,0.0,0.0,0.012415077537298203,0.049374669790267944,0.07654977589845657,0.06407498568296432,0.02223953790962696,0.03177981823682785,0.045244328677654266,0.04360257834196091,0.05066429078578949,-0.3171961307525635,0.006486592814326286,0.04778118059039116
1,1,n1_seed1,3,start_to_mid,0.0,0.779296875,0.787109375,0.0078125,0.0,0.0,0.0,0.08476670831441879,0.1664358228445053,0.09569776058197021,0.02756703831255436,0.07628532499074936,0.06282338500022888,-0.13724379241466522,0.13449493050575256,0.06013434752821922,0.9464953541755676,0.061583660542964935,0.03993925079703331
1,1,n1_seed1,3,mid_to_end,0.5,0.787109375,0.77734375,-0.009765625,0.0,0.0,0.0,0.021270422264933586,0.15491722524166107,0.17263832688331604,-0.08905606716871262,0.01376250572502613,0.05261941999197006,0.04228857532143593,0.1540742814540863,0.14402784407138824,-0.45627591013908386,0.008429394103586674,0.0793168693780899
1,1,n1_seed1,4,start_to_mid,0.0,0.2451171875,0.7841796875,0.5390625,0.0,0.0,0.0,-0.11112742125988007,0.49443623423576355,0.0889495238661766,-0.20766808092594147,0.44823986291885376,0.059965841472148895,-0.15983916819095612,0.17117734253406525,0.05372034013271332,0.47948694229125977,0.11935874819755554,0.03781852871179581
1,1,n1_seed1,4,mid_to_end,0.5,0.7841796875,0.7802734375,-0.00390625,0.0,0.0,0.0,0.42619022727012634,0.09148947149515152,0.12364155054092407,0.30681079626083374,0.03327915817499161,0.09156309813261032,0.5845839977264404,0.0846494659781456,0.07528331130743027,0.46359339356422424,0.009863553568720818,0.035154759883880615
1,2,n1_seed2,2,start_to_mid,0.0,0.552734375,0.58203125,0.029296875,0.0,0.0,0.0,-0.028270460665225983,0.5598943829536438,0.11225447058677673,-0.0444929301738739,0.5199960470199585,0.028124729171395302,-0.028066543862223625,0.16596364974975586,0.10812801122665405,-0.45886877179145813,0.12466706335544586,0.010880988091230392
